packet_length,protocol,destination_port,label
957,17,5353,normal
1404,6,443,suspicious
1404,6,443,suspicious
105,6,443,normal
1207,6,443,suspicious
54,6,4833,normal
54,6,4833,normal
54,6,4833,normal
1404,6,4833,suspicious
1404,6,4833,suspicious
322,6,4833,normal
1404,6,4833,suspicious
66,6,443,normal
1404,6,443,suspicious
1404,6,443,suspicious
136,6,443,normal
54,6,4834,normal
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1245,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
54,6,443,normal
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
54,6,443,normal
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
54,6,443,normal
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
878,6,4834,normal
1404,6,4834,suspicious
54,6,443,normal
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
1404,6,4834,suspicious
