2026-05-24 19:46:03 | ALERT: Suspicious Traffic | Source IP: 151.101.38.172 | Destination Port: 1205
2026-05-24 19:46:04 | ALERT: Suspicious Traffic | Source IP: 192.168.1.5 | Destination Port: 443
2026-05-24 19:46:04 | ALERT: Suspicious Traffic | Source IP: 13.107.137.11 | Destination Port: 2231
2026-05-24 19:46:04 | ALERT: Suspicious Traffic | Source IP: 52.105.231.39 | Destination Port: 2232
2026-05-24 19:46:11 | ALERT: Suspicious Traffic | Source IP: 172.188.155.25 | Destination Port: 9076
2026-05-24 19:46:13 | ALERT: Suspicious Traffic | Source IP: 13.89.179.9 | Destination Port: 6920
2026-05-24 19:46:21 | ALERT: Suspicious Traffic | Source IP: 13.216.205.223 | Destination Port: 13399
2026-05-24 19:46:34 | ALERT: Suspicious Traffic | Source IP: 142.251.43.134 | Destination Port: 53245
2026-05-24 19:46:37 | ALERT: Suspicious Traffic | Source IP: 34.248.172.249 | Destination Port: 7513
2026-05-24 19:50:03 | ALERT: Suspicious Traffic | Source IP: 151.101.38.172 | Destination Port: 1205
2026-05-24 19:50:03 | ALERT: Suspicious Traffic | Source IP: 192.168.1.5 | Destination Port: 443
2026-05-24 19:50:04 | ALERT: Suspicious Traffic | Source IP: 13.107.137.11 | Destination Port: 5996
2026-05-24 19:50:04 | ALERT: Suspicious Traffic | Source IP: 52.105.231.39 | Destination Port: 5997
2026-05-24 19:50:09 | ALERT: Suspicious Traffic | Source IP: 40.126.18.32 | Destination Port: 14502
2026-05-24 19:50:09 | ALERT: Suspicious Traffic | Source IP: 172.188.155.25 | Destination Port: 14159
2026-05-24 19:51:17 | ALERT: Suspicious Traffic | Source IP: 151.101.38.172 | Destination Port: 1205
2026-05-24 19:51:17 | ALERT: Suspicious Traffic | Source IP: 13.107.137.11 | Destination Port: 7289
2026-05-24 19:51:18 | ALERT: Suspicious Traffic | Source IP: 192.168.1.5 | Destination Port: 443
2026-05-24 19:51:18 | ALERT: Suspicious Traffic | Source IP: 52.105.231.39 | Destination Port: 7290
2026-05-24 19:51:19 | ALERT: Suspicious Traffic | Source IP: 13.107.5.93 | Destination Port: 1110
2026-05-24 19:51:22 | ALERT: Suspicious Traffic | Source IP: 13.89.179.9 | Destination Port: 1112
2026-05-24 19:51:26 | ALERT: Suspicious Traffic | Source IP: 172.188.155.25 | Destination Port: 3020
